Name,Interests
Yahya Rahmat-Samii,Electromagnetics; satellite communication antennas; personal communication antennas including human interaction; biotelemetry and RFID applications; antennas for remote sensing and radio astronomy applications
Behzad Razavi,Analog; RF; mixed-signal integrated circuit design; dual-standard RF transceivers; phase-locked systems and frequency synthesizers; A/D and D/A converters; high-speed data communication circuits
Yair Rivenson,Bioimaging; Computational Imaging; Photonics
Vwani P. Roychowdhury,Communications/telecommunications; quantum computation and information processing; embedded systems; adaptive and learning algorithms; combinatorics and complexity; biomedical informatics
Izhak Rubin,Communications/telecommunications; computer networks; multimedia IP networks; UAV/UGV-aided networks; integrated system and network management; C4ISR systems and networks; optical networks; network simulations and analysis
Henry Samueli,VLSI implementation of signal processing and digital communication systems; high-speed digital integrated circuits; digital filter design
Nader Sehatbakhsh,Circuits and Embedded Systems
Jason Speyer,Stochastic and deterministic optimal control and estimation with application to aerospace systems; guidance; flight control; and flight mechanics
Mani B. Srivastava,Embedded software; ubiquitous and mobile computing; human-cyber-physical systems; security and privacy; mobile health; internet of things; energy-aware computing
Oscar M. Stafsudd; Jr.,Quantum electronics; solid state lasers and laser media; infrared detectors (semiconductor and pyroelectric); opto-electronics; terahertz devices and systems; crystal growth; photovoltaics; optical applications for medical use
Dwight Streit,Advanced semiconductors; microelectronics; radar; communication and satellite payload electronics
Paulo Tabuada,Cyber-physical systems; cyber-physical systems security; control systems; smart grid
Zachary Taylor,THz medical imaging and sensing; biomedical optics and biophotonics; submillimeter wave and THz quasioptics; diagnostic medical imaging
King-Ning Tu,3D IC packaging and joule heating; metal-silicon interfaces; electromigration; pb-free solder joints
Mihaela van der Schaar,Game theory; network science; social networks; complex systems; machine learning; online learning; stream mining and Big data; medical informatics; networks
Ingrid Verbauwhede,Embedded security; security of cyber physical systems; efficient and attack resistant implementations of cryptography; design methods
John D. Villasenor,Electronics supply chain; digital media; technology and public policy
Kang L. Wang,Nanoelectronics; spintronics and nanomagnetics; non-volatile electronics and low dissipation devices; quantum device and systems; frontier materials by molecular beam epitaxy; photonics and energy
Yuanxun Ethan Wang,Smart antennas; RF and microwave power amplifiers; numerical techniques; DSP techniques for microwave systems; phased arrays; wireless and radar systems; electromagnetics
Richard Wesel,Information theory/communication theory; communication with feedback; coding and optimization for flash memory; optimization ofcommunication systems; low-density parity-check codes and turbo codes; trellis codes and convolutional codes
Benjamin Williams,Terahertz and mid-infrared quantum cascade lasers and photonic devices; low-dimensional semiconductor materials and intersubbandphysics; terahertz and infrared plasmonics; waveguides; antennas
Alan N. Willson; Jr.,Theory and applications of digital signal processing including VLSI implementations; digital filter design; nonlinear circuit theory
Chee Wei Wong,Nonlinear optics; quantum optics; ultrafast optics; precision measurements
Jason C. S. Woo,Solid state electronics; CMOS and bipolar device/circuit optimization; novel device design; modeling of integrated circuits; VLSI fabrication
Eli Yablonovitch,Electronic devices; optoelectronics; high speed optical communications; optical antennas; solar photovoltaics; computational inverse electromagnetic design
C. K. Ken Yang,High performance VLSI design; digital and mixed-signal circuit design
Kung Yao,Communications/telecommunications; collaborative signal processing; sensor system; wireless communication systems; VLSI and systolic algorithms
Lixia Zhang,Internet architecture and protocol designs; security and resiliency of large-scale systems
